Year,Milk cows and heifers that have calved,"Replace-ment heifers, 500+ pounds",Replace-ments per 100 cows,Average number of milk cows in the United States,Milk per cow,Milk production,Average price paid for milk1,Dairy ration value2,Milk-feed ratio3,Milk_Cow_Price,Milk volume required to buy a cow,Alfalfa hay price received by farmers4,"Slaughter cow 
price5"
1999,"9,183 ","4,000 ",43.6 ,"9,153 ","17,763 ","162,589 ",14.40,4.01,3.59,"1,280 ","8,889",82.26,37.28
2000,"9,172 ","4,057 ",44.2 ,"9,199 ","18,197 ","167,393 ",12.30,4.04,3.05,"1,340 ","10,894",83.88 ,40.08 
2001,"9,106 ","4,055 ",44.5 ,"9,103 ","18,162 ","165,332 ",15.00,4.41,3.39,"1,500 ","10,000",102.41 ,44.78 
2002,"9,142 ","4,114 ",45.0 ,"9,139 ","18,608 ","170,063 ",12.10,4.67,2.60,"1,600 ","13,223",101.30 ,40.09 
2003,"8,988 ","4,018 ",44.7 ,"9,081 ","18,759 ","170,348 ",12.50,4.80,2.61,"1,340 ","10,720",94.03 ,42.99 
2004,"9,004 ","4,117 ",45.7 ,"9,010 ","18,960 ","170,832 ",16.10,5.20,3.10,"1,580 ","9,814",95.13 ,52.66 
2005,"9,104 ","4,298 ",47.2 ,"9,050 ","19,550 ","176,931 ",15.10,4.68,3.24,"1,770 ","11,722",102.53 ,53.94 
2006,"9,145 ","4,325 ",47.3 ,"9,137 ","19,895 ","181,782 ",12.90,5.04,2.57,"1,730 ","13,411",107.71 ,49.08 
2007,"9,257 ","4,415 ",47.7 ,"9,189 ","20,204 ","185,654 ",19.10,6.80,2.80,"1,830 ","9,581",130.58 ,49.51 
2008,"9,333 ","4,410 ",47.2 ,"9,314 ","20,397 ","189,978 ",18.30,9.17,2.01,"1,950 ","10,656",161.33 ,51.44 
2009,"9,087 ","4,551 ",50.1 ,"9,202 ","20,561 ","189,202 ",12.80,7.27,1.78,"1,390 ","10,859",122.92 ,44.38 
2010,"9,156 ","4,577 ",50.0 ,"9,123 ","21,142 ","192,877 ",16.30,7.20,2.26,"1,330 ","8,160",116.42 ,56.10 
2011,"9,236 ","4,618 ",50.0 ,"9,199 ","21,334 ","196,255 ",20.10,10.76,1.90,"1,420 ","7,065",176.08 ,68.30 
2012,"9,221 ","4,546 ",49.3 ,"9,237 ","21,722 ","200,642 ",18.50,12.15,1.52,"1,430 ","7,730",206.08 ,77.71 
2013,"9,208 ","4,549 ",49.4 ,"9,224 ","21,819 ","201,260 ",20.10,11.71,1.75,"1,380 ","6,866",205.83,77.56 
2014,"9,307 ","4,710 ",50.6 ,"9,261 ","22,249 ","206,048 ",24.00,9.51,2.54,"1,830 ","7,625",200.25,102.04 
2015,"9,312 ","4,814 ",51.7 ,"9,320 ","22,372 ","208,508 ",17.10,8.04,2.14,"1,990 ","11,637",165.83,99.56 
2016,"9,369 ","4,754 ",50.7 ,"9,334 ","22,761 ","212,451 ",16.30,7.26,2.26,"1,760 ","10,798",138.33,70.07 
2017,"9,432 ","4,768 ",50.6 ,"9,406 ","22,914 ","215,527 ",17.70,7.30,2.42,"1,620 ","9,153",145.67,65.16 
2018,"9,353 ","4,702 ",50.3 ,"9,398 ","23,150 ","217,568 ",16.30,7.95,2.05,"1,360 ","8,344",174.17,57.43 
2019,"9,343 ","4,684 ",50.1 ,"9,337 ","23,395 ","218,441 ",18.70,8.32,2.25,"1,205 ","6,444",182.92,56.43 
2020,"9,442 ","4,609 ",48.8 ,"9,392 ","23,777 ","223,309 ",18.10,7.92,2.31,"1,300 ","7,182",171.33,60.61 
2021,"9,377 ","4,441 ",47.4 ,"9,449 ","23,949 ","226,293 ",18.60,10.57,1.76,"1,360 ","7,312",199.50,64.91 
2022,"9,403 ","4,337 ",46.1 ,"9,402 ","24,087 ","226,462 ",25.60,13.33,1.92,"1,598 ","6,211",254.50,78.44 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
